timestamp,event_id,event_type,data
2026-03-25T18:13:32.885593,,state,"{""name_id"":""switch/Relay 1"",""id"":""switch-relay_1"",""domain"":""switch"",""name"":""Relay 1"",""icon"":"""",""entity_category"":0,""value"":false,""state"":""OFF"",""assumed_state"":false}"
2026-03-25T18:13:35.335975,,state,"{""name_id"":""text_sensor/LibreTiny Version"",""id"":""text_sensor-libretiny_version"",""domain"":""text_sensor"",""name"":""LibreTiny Version"",""icon"":""mdi:cellphone-arrow-down"",""entity_category"":2,""value"":""v1.12.1+sha.73564e9 on cb2s, compiled at Mar 22 2026 15:45:19, GCC 10.3.1 (-O1)"",""state"":""v1.12.1+sha.73564e9 on cb2s, compiled at Mar 22 2026 15:45:19, GCC 10.3.1 (-O1)""}"
2026-03-25T18:13:35.336383,570764,log,"[0;36m[D][hlw8012:082]: Got power=0.9W, voltage=232.7V[0m"
2026-03-25T18:13:35.336748,570772,log,[0;36m[D][sensor:118]: 'BL0937 Voltage' >> 232.66 V[0m
2026-03-25T18:13:35.337078,,state,"{""name_id"":""sensor/BL0937 Voltage"",""id"":""sensor-bl0937_voltage"",""value"":232.6649,""state"":""232.66 V""}"
2026-03-25T18:13:35.337824,570790,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.92 W[0m
2026-03-25T18:13:40.305874,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.916566,""state"":""1.92 W""}"
2026-03-25T18:13:40.306166,570822,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:13:40.306362,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.123888,""state"":""0.1 Wh""}"
2026-03-25T18:13:40.306950,572776,ping,
2026-03-25T18:13:40.307166,575766,log,"[0;36m[D][hlw8012:082]: Got power=0.8W, voltage=232.7V[0m"
2026-03-25T18:13:40.307375,575774,log,[0;36m[D][sensor:118]: 'BL0937 Voltage' >> 232.74 V[0m
2026-03-25T18:13:45.289835,,state,"{""name_id"":""sensor/BL0937 Voltage"",""id"":""sensor-bl0937_voltage"",""value"":232.7408,""state"":""232.74 V""}"
2026-03-25T18:13:45.289968,575794,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.68 W[0m
2026-03-25T18:13:45.290028,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.676995,""state"":""1.68 W""}"
2026-03-25T18:13:45.290082,575822,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:13:45.290130,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.124934,""state"":""0.1 Wh""}"
2026-03-25T18:13:45.341805,580770,log,"[0;36m[D][hlw8012:082]: Got power=0.9W, voltage=233.2V[0m"
2026-03-25T18:13:45.341921,580778,log,[0;36m[D][sensor:118]: 'BL0937 Voltage' >> 233.16 V[0m
2026-03-25T18:13:45.341994,,state,"{""name_id"":""sensor/BL0937 Voltage"",""id"":""sensor-bl0937_voltage"",""value"":233.158,""state"":""233.16 V""}"
2026-03-25T18:13:45.342069,580800,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.92 W[0m
2026-03-25T18:13:45.342361,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.916566,""state"":""1.92 W""}"
2026-03-25T18:13:50.323692,580824,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:13:50.323848,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.12613,""state"":""0.1 Wh""}"
2026-03-25T18:13:50.323968,582778,ping,
2026-03-25T18:13:50.324051,585772,log,"[0;36m[D][hlw8012:082]: Got power=0.8W, voltage=233.0V[0m"
2026-03-25T18:13:50.324135,585780,log,[0;36m[D][sensor:118]: 'BL0937 Voltage' >> 232.98 V[0m
2026-03-25T18:13:50.324212,,state,"{""name_id"":""sensor/BL0937 Voltage"",""id"":""sensor-bl0937_voltage"",""value"":232.981,""state"":""232.98 V""}"
2026-03-25T18:13:55.304841,585806,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.68 W[0m
2026-03-25T18:13:55.305771,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.676995,""state"":""1.68 W""}"
2026-03-25T18:13:55.305996,585828,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:13:55.306276,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.127176,""state"":""0.1 Wh""}"
2026-03-25T18:13:55.306333,590772,log,"[0;36m[D][hlw8012:082]: Got power=0.8W, voltage=232.7V[0m"
2026-03-25T18:13:55.365497,590782,log,[0;36m[D][sensor:118]: 'BL0937 Voltage' >> 232.70 V[0m
2026-03-25T18:13:55.365620,,state,"{""name_id"":""sensor/BL0937 Voltage"",""id"":""sensor-bl0937_voltage"",""value"":232.7029,""state"":""232.70 V""}"
2026-03-25T18:13:55.365688,590808,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.68 W[0m
2026-03-25T18:13:55.365730,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.676995,""state"":""1.68 W""}"
2026-03-25T18:13:55.365773,590830,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:00.328939,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.128222,""state"":""0.1 Wh""}"
2026-03-25T18:14:00.329143,592780,ping,
2026-03-25T18:14:00.329267,595774,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.92 W[0m
2026-03-25T18:14:00.329527,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.916566,""state"":""1.92 W""}"
2026-03-25T18:14:00.329654,595794,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:00.329778,595794,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:05.311920,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.129417,""state"":""0.1 Wh""}"
2026-03-25T18:14:05.312014,600582,log,[0;36m[D][sensor:118]: 'Phantom Power Draw' >> 0.00 W[0m
2026-03-25T18:14:05.312058,,state,"{""name_id"":""sensor/Phantom Power Draw"",""id"":""sensor-phantom_power_draw"",""value"":0,""state"":""0.00 W""}"
2026-03-25T18:14:05.312099,600776,log,"[0;36m[D][hlw8012:076]: Got power=0.8W, current=0.0A[0m"
2026-03-25T18:14:05.312136,600782,log,[0;36m[D][sensor:118]: 'BL0937 Current' >> 0.020 A[0m
2026-03-25T18:14:05.363744,,state,"{""name_id"":""sensor/BL0937 Current"",""id"":""sensor-bl0937_current"",""value"":0.02011,""state"":""0.020 A""}"
2026-03-25T18:14:05.363845,600800,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.68 W[0m
2026-03-25T18:14:05.363895,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.676995,""state"":""1.68 W""}"
2026-03-25T18:14:05.363934,600822,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:05.363968,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.130463,""state"":""0.1 Wh""}"
2026-03-25T18:14:05.555775,600846,log,[0;36m[D][sensor:118]: 'Current Signal Variance' >> 0.0000 AÂ²[0m
2026-03-25T18:14:05.555879,,state,"{""name_id"":""sensor/Current Signal Variance"",""id"":""sensor-current_signal_variance"",""value"":0,""state"":""0.0000 AÂ²""}"
2026-03-25T18:14:05.555941,600866,log,[0;36m[D][sensor:118]: 'WiFi Signal Sensor' >> -44 dBm[0m
2026-03-25T18:14:05.555982,,state,"{""name_id"":""sensor/WiFi Signal Sensor"",""id"":""sensor-wifi_signal_sensor"",""value"":-44,""state"":""-44 dBm""}"
2026-03-25T18:14:05.556030,601010,log,[0;36m[D][sensor:118]: 'Steady State Power' >> 0.0 W[0m
2026-03-25T18:14:06.063665,,state,"{""name_id"":""sensor/Steady State Power"",""id"":""sensor-steady_state_power"",""value"":0,""state"":""0.0 W""}"
2026-03-25T18:14:06.063747,601326,log,[0;36m[D][sensor:118]: 'Detected Device Type' >> 0 [0m
2026-03-25T18:14:06.063789,,state,"{""name_id"":""sensor/Detected Device Type"",""id"":""sensor-detected_device_type"",""value"":0,""state"":""0""}"
2026-03-25T18:14:06.063838,601446,log,[0;36m[D][sensor:118]: 'Startup Duration' >> 0 ms[0m
2026-03-25T18:14:06.063884,,state,"{""name_id"":""sensor/Startup Duration"",""id"":""sensor-startup_duration"",""value"":0,""state"":""0 ms""}"
2026-03-25T18:14:10.318361,601546,log,[0;36m[D][sensor:118]: 'Startup Peak Current' >> 0.00 A[0m
2026-03-25T18:14:10.318478,,state,"{""name_id"":""sensor/Startup Peak Current"",""id"":""sensor-startup_peak_current"",""value"":0,""state"":""0.00 A""}"
2026-03-25T18:14:10.318551,602782,ping,
2026-03-25T18:14:10.318636,605776,log,"[0;36m[D][hlw8012:076]: Got power=0.8W, current=0.0A[0m"
2026-03-25T18:14:10.318708,605782,log,[0;36m[D][sensor:118]: 'BL0937 Current' >> 0.020 A[0m
2026-03-25T18:14:10.318754,,state,"{""name_id"":""sensor/BL0937 Current"",""id"":""sensor-bl0937_current"",""value"":0.02011,""state"":""0.020 A""}"
2026-03-25T18:14:15.336279,605802,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.68 W[0m
2026-03-25T18:14:15.336437,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.676995,""state"":""1.68 W""}"
2026-03-25T18:14:15.336560,605824,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:15.336618,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.13151,""state"":""0.1 Wh""}"
2026-03-25T18:14:15.336673,610776,log,"[0;36m[D][hlw8012:076]: Got power=0.9W, current=0.0A[0m"
2026-03-25T18:14:15.337403,610780,log,[0;36m[D][sensor:118]: 'BL0937 Current' >> 0.020 A[0m
2026-03-25T18:14:15.337477,,state,"{""name_id"":""sensor/BL0937 Current"",""id"":""sensor-bl0937_current"",""value"":0.02011,""state"":""0.020 A""}"
2026-03-25T18:14:15.337527,610792,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.92 W[0m
2026-03-25T18:14:15.337564,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.916566,""state"":""1.92 W""}"
2026-03-25T18:14:15.337602,610804,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:20.334177,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.132705,""state"":""0.1 Wh""}"
2026-03-25T18:14:20.334429,612784,ping,
2026-03-25T18:14:20.334630,615776,log,"[0;36m[D][hlw8012:076]: Got power=0.8W, current=0.0A[0m"
2026-03-25T18:14:20.334834,615782,log,[0;36m[D][sensor:118]: 'BL0937 Current' >> 0.020 A[0m
2026-03-25T18:14:20.334939,,state,"{""name_id"":""sensor/BL0937 Current"",""id"":""sensor-bl0937_current"",""value"":0.02011,""state"":""0.020 A""}"
2026-03-25T18:14:20.335020,615800,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.68 W[0m
2026-03-25T18:14:25.302750,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.676995,""state"":""1.68 W""}"
2026-03-25T18:14:25.302811,615816,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:25.302836,615816,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:25.302855,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.133751,""state"":""0.1 Wh""}"
2026-03-25T18:14:25.302876,620776,log,"[0;36m[D][hlw8012:076]: Got power=0.9W, current=0.0A[0m"
2026-03-25T18:14:25.356027,620784,log,[0;36m[D][sensor:118]: 'BL0937 Current' >> 0.018 A[0m
2026-03-25T18:14:25.356108,,state,"{""name_id"":""sensor/BL0937 Current"",""id"":""sensor-bl0937_current"",""value"":0.018099,""state"":""0.018 A""}"
2026-03-25T18:14:25.356154,620802,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.92 W[0m
2026-03-25T18:14:25.356192,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.916566,""state"":""1.92 W""}"
2026-03-25T18:14:25.356233,620826,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:30.336050,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.134947,""state"":""0.1 Wh""}"
2026-03-25T18:14:30.336163,622786,ping,
2026-03-25T18:14:30.336206,625778,log,"[0;36m[D][hlw8012:076]: Got power=0.8W, current=0.0A[0m"
2026-03-25T18:14:30.336250,625784,log,[0;36m[D][sensor:118]: 'BL0937 Current' >> 0.020 A[0m
2026-03-25T18:14:30.336287,,state,"{""name_id"":""sensor/BL0937 Current"",""id"":""sensor-bl0937_current"",""value"":0.02011,""state"":""0.020 A""}"
2026-03-25T18:14:30.336327,625804,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.68 W[0m
2026-03-25T18:14:35.319496,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.676995,""state"":""1.68 W""}"
2026-03-25T18:14:35.319816,625816,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:35.319983,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.135993,""state"":""0.1 Wh""}"
2026-03-25T18:14:35.320073,630780,log,"[0;36m[D][hlw8012:076]: Got power=0.8W, current=0.0A[0m"
2026-03-25T18:14:35.320154,630786,log,[0;36m[D][sensor:118]: 'BL0937 Current' >> 0.020 A[0m
2026-03-25T18:14:40.300503,,state,"{""name_id"":""sensor/BL0937 Current"",""id"":""sensor-bl0937_current"",""value"":0.02011,""state"":""0.020 A""}"
2026-03-25T18:14:40.300666,630808,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.68 W[0m
2026-03-25T18:14:40.300777,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.676995,""state"":""1.68 W""}"
2026-03-25T18:14:40.300936,630826,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:40.301085,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.137039,""state"":""0.1 Wh""}"
2026-03-25T18:14:40.301400,632788,ping,
2026-03-25T18:14:40.346112,635782,log,"[0;36m[D][hlw8012:076]: Got power=0.9W, current=0.0A[0m"
2026-03-25T18:14:40.346271,635788,log,[0;36m[D][sensor:118]: 'BL0937 Current' >> 0.020 A[0m
2026-03-25T18:14:40.346346,,state,"{""name_id"":""sensor/BL0937 Current"",""id"":""sensor-bl0937_current"",""value"":0.02011,""state"":""0.020 A""}"
2026-03-25T18:14:40.346420,635806,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.92 W[0m
2026-03-25T18:14:40.346482,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.916566,""state"":""1.92 W""}"
2026-03-25T18:14:45.394068,635826,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:45.394213,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.138234,""state"":""0.1 Wh""}"
2026-03-25T18:14:45.394309,640784,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.68 W[0m
2026-03-25T18:14:45.394406,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.676995,""state"":""1.68 W""}"
2026-03-25T18:14:45.394490,640800,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:50.357447,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.139281,""state"":""0.1 Wh""}"
2026-03-25T18:14:50.357540,642792,ping,
2026-03-25T18:14:50.357585,645786,log,"[0;36m[D][hlw8012:082]: Got power=0.8W, voltage=230.6V[0m"
2026-03-25T18:14:50.357627,645792,log,[0;36m[D][sensor:118]: 'BL0937 Voltage' >> 230.63 V[0m
2026-03-25T18:14:50.357663,,state,"{""name_id"":""sensor/BL0937 Voltage"",""id"":""sensor-bl0937_voltage"",""value"":230.6295,""state"":""230.63 V""}"
2026-03-25T18:14:50.357701,645820,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.68 W[0m
2026-03-25T18:14:55.331273,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.676995,""state"":""1.68 W""}"
2026-03-25T18:14:55.331449,645844,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:14:55.331531,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.140327,""state"":""0.1 Wh""}"
2026-03-25T18:14:55.331611,650788,log,"[0;36m[D][hlw8012:082]: Got power=0.9W, voltage=230.5V[0m"
2026-03-25T18:14:55.331683,650796,log,[0;36m[D][sensor:118]: 'BL0937 Voltage' >> 230.47 V[0m
2026-03-25T18:15:00.325569,,state,"{""name_id"":""sensor/BL0937 Voltage"",""id"":""sensor-bl0937_voltage"",""value"":230.4651,""state"":""230.47 V""}"
2026-03-25T18:15:00.326050,650818,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.92 W[0m
2026-03-25T18:15:00.326187,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.916566,""state"":""1.92 W""}"
2026-03-25T18:15:00.326242,650842,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:15:00.326295,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.141522,""state"":""0.1 Wh""}"
2026-03-25T18:15:00.326342,652794,ping,
2026-03-25T18:15:00.364193,655788,log,"[0;36m[D][hlw8012:082]: Got power=0.8W, voltage=230.5V[0m"
2026-03-25T18:15:00.364309,655796,log,[0;36m[D][sensor:118]: 'BL0937 Voltage' >> 230.49 V[0m
2026-03-25T18:15:00.364349,,state,"{""name_id"":""sensor/BL0937 Voltage"",""id"":""sensor-bl0937_voltage"",""value"":230.4904,""state"":""230.49 V""}"
2026-03-25T18:15:00.364392,655816,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.68 W[0m
2026-03-25T18:15:00.364431,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.676995,""state"":""1.68 W""}"
2026-03-25T18:15:05.336333,655844,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:15:05.336479,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.142568,""state"":""0.1 Wh""}"
2026-03-25T18:15:05.336556,660584,log,[0;36m[D][sensor:118]: 'Phantom Power Draw' >> 0.00 W[0m
2026-03-25T18:15:05.336615,,state,"{""name_id"":""sensor/Phantom Power Draw"",""id"":""sensor-phantom_power_draw"",""value"":0,""state"":""0.00 W""}"
2026-03-25T18:15:05.336870,660788,log,"[0;36m[D][hlw8012:082]: Got power=0.9W, voltage=230.4V[0m"
2026-03-25T18:15:05.336960,660796,log,[0;36m[D][sensor:118]: 'BL0937 Voltage' >> 230.40 V[0m
2026-03-25T18:15:05.396180,,state,"{""name_id"":""sensor/BL0937 Voltage"",""id"":""sensor-bl0937_voltage"",""value"":230.4019,""state"":""230.40 V""}"
2026-03-25T18:15:05.396332,660824,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.92 W[0m
2026-03-25T18:15:05.396519,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.916566,""state"":""1.92 W""}"
2026-03-25T18:15:05.396599,660848,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:15:05.396658,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.143764,""state"":""0.1 Wh""}"
2026-03-25T18:15:05.646843,660876,log,[0;36m[D][sensor:118]: 'Current Signal Variance' >> 0.0000 AÂ²[0m
2026-03-25T18:15:05.647054,,state,"{""name_id"":""sensor/Current Signal Variance"",""id"":""sensor-current_signal_variance"",""value"":0,""state"":""0.0000 AÂ²""}"
2026-03-25T18:15:05.647215,660904,log,[0;36m[D][sensor:118]: 'WiFi Signal Sensor' >> -42 dBm[0m
2026-03-25T18:15:05.647374,,state,"{""name_id"":""sensor/WiFi Signal Sensor"",""id"":""sensor-wifi_signal_sensor"",""value"":-42,""state"":""-42 dBm""}"
2026-03-25T18:15:05.986675,661012,log,[0;36m[D][sensor:118]: 'Steady State Power' >> 0.0 W[0m
2026-03-25T18:15:05.986924,,state,"{""name_id"":""sensor/Steady State Power"",""id"":""sensor-steady_state_power"",""value"":0,""state"":""0.0 W""}"
2026-03-25T18:15:05.987119,661328,log,[0;36m[D][sensor:118]: 'Detected Device Type' >> 0 [0m
2026-03-25T18:15:05.987291,,state,"{""name_id"":""sensor/Detected Device Type"",""id"":""sensor-detected_device_type"",""value"":0,""state"":""0""}"
2026-03-25T18:15:05.987492,661452,log,[0;36m[D][sensor:118]: 'Startup Duration' >> 0 ms[0m
2026-03-25T18:15:10.335628,,state,"{""name_id"":""sensor/Startup Duration"",""id"":""sensor-startup_duration"",""value"":0,""state"":""0 ms""}"
2026-03-25T18:15:10.335800,661548,log,[0;36m[D][sensor:118]: 'Startup Peak Current' >> 0.00 A[0m
2026-03-25T18:15:10.336070,,state,"{""name_id"":""sensor/Startup Peak Current"",""id"":""sensor-startup_peak_current"",""value"":0,""state"":""0.00 A""}"
2026-03-25T18:15:10.336337,662796,ping,
2026-03-25T18:15:10.336452,665790,log,"[0;36m[D][hlw8012:082]: Got power=0.8W, voltage=230.4V[0m"
2026-03-25T18:15:10.336545,665798,log,[0;36m[D][sensor:118]: 'BL0937 Voltage' >> 230.35 V[0m
2026-03-25T18:15:15.314964,,state,"{""name_id"":""sensor/BL0937 Voltage"",""id"":""sensor-bl0937_voltage"",""value"":230.3513,""state"":""230.35 V""}"
2026-03-25T18:15:15.315027,665822,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.68 W[0m
2026-03-25T18:15:15.315050,,state,"{""name_id"":""sensor/BL0937 Power"",""id"":""sensor-bl0937_power"",""value"":1.676995,""state"":""1.68 W""}"
2026-03-25T18:15:15.315072,665844,log,[0;36m[D][sensor:118]: 'BL0937 Energy' >> 0.1 Wh[0m
2026-03-25T18:15:15.315091,,state,"{""name_id"":""sensor/BL0937 Energy"",""id"":""sensor-bl0937_energy"",""value"":0.14481,""state"":""0.1 Wh""}"
2026-03-25T18:15:15.369102,670792,log,"[0;36m[D][hlw8012:082]: Got power=0.9W, voltage=230.4V[0m"
2026-03-25T18:15:15.369162,670800,log,[0;36m[D][sensor:118]: 'BL0937 Voltage' >> 230.43 V[0m
2026-03-25T18:15:15.369184,,state,"{""name_id"":""sensor/BL0937 Voltage"",""id"":""sensor-bl0937_voltage"",""value"":230.4272,""state"":""230.43 V""}"
2026-03-25T18:15:15.369206,670822,log,[0;36m[D][sensor:118]: 'BL0937 Power' >> 1.92 W[0m
